ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Kasich,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,10/31/2020 12:00:00 AM,$0.67,$0.68,$0.64,$0.65,55945
Sanders,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,32
Pence,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1104
Trump,10/31/2020 12:00:00 AM,$0.41,$0.41,$0.39,$0.40,102585
Gillibrand,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Haley,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,120
Ryan,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,11
O'Rourke,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,212
Yang,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,26
Buttigieg,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,47
Gabbard,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1746
Steyer,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,22
West,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,13
Hawkins,10/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2158
Warren,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,34
Booker,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Kasich,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,11/1/2020 12:00:00 AM,$0.65,$0.67,$0.63,$0.63,82478
Sanders,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,88
Pence,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2976
Trump,11/1/2020 12:00:00 AM,$0.40,$0.43,$0.38,$0.41,128782
Gillibrand,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3
Cuban,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Klobuchar,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ryan,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
O'Rourke,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,35
Buttigieg,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Gabbard,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1327
Steyer,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
West,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,23
Hawkins,11/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3452
Warren,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3
Kasich,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,11/2/2020 12:00:00 AM,$0.65,$0.66,$0.61,$0.61,159442
Sanders,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,799
Pence,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,29245
Trump,11/2/2020 12:00:00 AM,$0.41,$0.45,$0.40,$0.44,273940
Gillibrand,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuomo,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Cuban,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Zuckerberg,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Klobuchar,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,920
Haley,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Ryan,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
O'Rourke,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,869
Yang,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1668
Buttigieg,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,817
Gabbard,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Clinton,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2516
Steyer,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1000
West,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,47
Hawkins,11/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,18014
Warren,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,178
Booker,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,106
Kasich,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,11
Biden,11/3/2020 12:00:00 AM,$0.61,$0.71,$0.15,$0.42,278595
Sanders,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,732
Pence,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3564
Trump,11/3/2020 12:00:00 AM,$0.44,$0.85,$0.36,$0.59,411703
Gillibrand,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Cuomo,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,561
Cuban,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10
Zuckerberg,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
Klobuchar,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Haley,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,51
Ryan,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,36
O'Rourke,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,12
Brown,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,62
Yang,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1194
Buttigieg,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,53
Gabbard,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,117
Clinton,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2325
Steyer,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Jorgensen,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2750
West,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,186
Hawkins,11/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,33
