ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Dems by 30 - 59,11/4/2020 10:00:00 PM,$0.33,$0.36,$0.32,$0.32,5245
Dems by 280+,11/4/2020 10:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
GOP by 100 - 149,11/4/2020 10:00:00 PM,$0.01,$0.01,$0.01,$0.01,25
Dems by 100 - 149,11/4/2020 10:00:00 PM,$0.03,$0.04,$0.03,$0.03,2654
GOP by 150 - 209,11/4/2020 10:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Dems by 150 - 209,11/4/2020 10:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
GOP by 210 - 279,11/4/2020 10:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Dems by 210 - 279,11/4/2020 10:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
GOP by 0 - 9,11/4/2020 11:00:00 PM,$0.05,$0.06,$0.04,$0.04,92063
GOP by 10 - 29,11/4/2020 11:00:00 PM,$0.08,$0.10,$0.05,$0.09,91868
GOP by 30 - 59,11/4/2020 11:00:00 PM,$0.03,$0.05,$0.03,$0.03,66921
Dems by 60 - 99,11/4/2020 11:00:00 PM,$0.28,$0.46,$0.19,$0.29,92128
GOP by 60 - 99,11/4/2020 11:00:00 PM,$0.01,$0.02,$0.01,$0.01,39399
GOP by 280+,11/4/2020 11:00:00 PM,$0.01,$0.01,$0.01,$0.01,2948
Dems by 1 - 9,11/4/2020 11:00:00 PM,$0.14,$0.17,$0.05,$0.08,150861
Dems by 10 - 29,11/4/2020 11:00:00 PM,$0.06,$0.08,$0.04,$0.04,108979
Dems by 30 - 59,11/4/2020 11:00:00 PM,$0.32,$0.41,$0.30,$0.40,73454
Dems by 280+,11/4/2020 11:00:00 PM,$0.01,$0.01,$0.01,$0.01,12522
GOP by 100 - 149,11/4/2020 11:00:00 PM,$0.01,$0.01,$0.01,$0.01,12878
Dems by 100 - 149,11/4/2020 11:00:00 PM,$0.03,$0.05,$0.02,$0.03,118171
GOP by 150 - 209,11/4/2020 11:00:00 PM,$0.01,$0.01,$0.01,$0.01,1803
Dems by 150 - 209,11/4/2020 11:00:00 PM,$0.01,$0.01,$0.01,$0.01,10510
GOP by 210 - 279,11/4/2020 11:00:00 PM,$0.01,$0.01,$0.01,$0.01,1815
Dems by 210 - 279,11/4/2020 11:00:00 PM,$0.01,$0.01,$0.01,$0.01,10503
GOP by 0 - 9,11/5/2020 12:00:00 AM,$0.04,$0.08,$0.04,$0.06,103769
GOP by 10 - 29,11/5/2020 12:00:00 AM,$0.09,$0.10,$0.06,$0.07,66448
GOP by 30 - 59,11/5/2020 12:00:00 AM,$0.03,$0.04,$0.02,$0.03,57058
Dems by 60 - 99,11/5/2020 12:00:00 AM,$0.29,$0.60,$0.29,$0.43,104041
GOP by 60 - 99,11/5/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,25675
GOP by 280+,11/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6071
Dems by 1 - 9,11/5/2020 12:00:00 AM,$0.08,$0.10,$0.05,$0.08,136925
Dems by 10 - 29,11/5/2020 12:00:00 AM,$0.04,$0.05,$0.02,$0.04,107113
Dems by 30 - 59,11/5/2020 12:00:00 AM,$0.40,$0.41,$0.08,$0.23,127985
Dems by 280+,11/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,371
GOP by 100 - 149,11/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6665
Dems by 100 - 149,11/5/2020 12:00:00 AM,$0.03,$0.07,$0.02,$0.04,118600
GOP by 150 - 209,11/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,11
Dems by 150 - 209,11/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,577
GOP by 210 - 279,11/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,111
Dems by 210 - 279,11/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1759
GOP by 0 - 9,11/5/2020 1:00:00 AM,$0.06,$0.07,$0.03,$0.04,67073
GOP by 10 - 29,11/5/2020 1:00:00 AM,$0.07,$0.08,$0.05,$0.05,53184
GOP by 30 - 59,11/5/2020 1:00:00 AM,$0.03,$0.04,$0.02,$0.02,43293
Dems by 60 - 99,11/5/2020 1:00:00 AM,$0.43,$0.65,$0.40,$0.55,79538
GOP by 60 - 99,11/5/2020 1:00:00 AM,$0.01,$0.02,$0.01,$0.02,27982
GOP by 280+,11/5/2020 1:00:00 AM,$0.01,$0.01,$0.01,$0.01,2267
Dems by 1 - 9,11/5/2020 1:00:00 AM,$0.08,$0.10,$0.05,$0.07,88382
Dems by 10 - 29,11/5/2020 1:00:00 AM,$0.04,$0.06,$0.02,$0.06,112390
Dems by 30 - 59,11/5/2020 1:00:00 AM,$0.23,$0.33,$0.12,$0.27,132645
Dems by 280+,11/5/2020 1:00:00 AM,$0.01,$0.01,$0.01,$0.01,3709
GOP by 100 - 149,11/5/2020 1:00:00 AM,$0.01,$0.01,$0.01,$0.01,7730
Dems by 100 - 149,11/5/2020 1:00:00 AM,$0.04,$0.06,$0.03,$0.04,60558
GOP by 150 - 209,11/5/2020 1:00:00 AM,$0.01,$0.01,$0.01,$0.01,1837
Dems by 150 - 209,11/5/2020 1:00:00 AM,$0.01,$0.01,$0.01,$0.01,2165
GOP by 210 - 279,11/5/2020 1:00:00 AM,$0.01,$0.01,$0.01,$0.01,2795
Dems by 210 - 279,11/5/2020 1:00:00 AM,$0.01,$0.01,$0.01,$0.01,3617
GOP by 0 - 9,11/5/2020 2:00:00 AM,$0.04,$0.06,$0.03,$0.05,66862
GOP by 10 - 29,11/5/2020 2:00:00 AM,$0.05,$0.07,$0.04,$0.06,62194
GOP by 30 - 59,11/5/2020 2:00:00 AM,$0.02,$0.03,$0.01,$0.03,43694
Dems by 60 - 99,11/5/2020 2:00:00 AM,$0.55,$0.60,$0.45,$0.53,76552
GOP by 60 - 99,11/5/2020 2:00:00 AM,$0.02,$0.02,$0.01,$0.01,26952
GOP by 280+,11/5/2020 2:00:00 AM,$0.01,$0.01,$0.01,$0.01,16338
Dems by 1 - 9,11/5/2020 2:00:00 AM,$0.07,$0.07,$0.05,$0.07,75698
Dems by 10 - 29,11/5/2020 2:00:00 AM,$0.06,$0.08,$0.03,$0.06,103115
Dems by 30 - 59,11/5/2020 2:00:00 AM,$0.27,$0.28,$0.15,$0.20,94658
Dems by 280+,11/5/2020 2:00:00 AM,$0.01,$0.01,$0.01,$0.01,2306
GOP by 100 - 149,11/5/2020 2:00:00 AM,$0.01,$0.01,$0.01,$0.01,3324
Dems by 100 - 149,11/5/2020 2:00:00 AM,$0.04,$0.07,$0.02,$0.07,81832
GOP by 150 - 209,11/5/2020 2:00:00 AM,$0.01,$0.01,$0.01,$0.01,1963
Dems by 150 - 209,11/5/2020 2:00:00 AM,$0.01,$0.01,$0.01,$0.01,543
GOP by 210 - 279,11/5/2020 2:00:00 AM,$0.01,$0.01,$0.01,$0.01,2549
Dems by 210 - 279,11/5/2020 2:00:00 AM,$0.01,$0.01,$0.01,$0.01,150
GOP by 0 - 9,11/5/2020 3:00:00 AM,$0.05,$0.06,$0.04,$0.05,64709
GOP by 10 - 29,11/5/2020 3:00:00 AM,$0.06,$0.10,$0.04,$0.08,38186
GOP by 30 - 59,11/5/2020 3:00:00 AM,$0.03,$0.03,$0.01,$0.03,28063
Dems by 60 - 99,11/5/2020 3:00:00 AM,$0.53,$0.56,$0.42,$0.47,52195
GOP by 60 - 99,11/5/2020 3:00:00 AM,$0.01,$0.02,$0.01,$0.02,29686
GOP by 280+,11/5/2020 3:00:00 AM,$0.01,$0.01,$0.01,$0.01,1748
Dems by 1 - 9,11/5/2020 3:00:00 AM,$0.07,$0.09,$0.06,$0.07,70295
Dems by 10 - 29,11/5/2020 3:00:00 AM,$0.06,$0.09,$0.04,$0.09,109724
Dems by 30 - 59,11/5/2020 3:00:00 AM,$0.20,$0.27,$0.18,$0.26,65036
Dems by 280+,11/5/2020 3:00:00 AM,$0.01,$0.01,$0.01,$0.01,965
GOP by 100 - 149,11/5/2020 3:00:00 AM,$0.01,$0.01,$0.01,$0.01,1132
Dems by 100 - 149,11/5/2020 3:00:00 AM,$0.07,$0.08,$0.04,$0.05,66406
GOP by 150 - 209,11/5/2020 3:00:00 AM,$0.01,$0.01,$0.01,$0.01,958
Dems by 150 - 209,11/5/2020 3:00:00 AM,$0.01,$0.01,$0.01,$0.01,1304
GOP by 210 - 279,11/5/2020 3:00:00 AM,$0.01,$0.01,$0.01,$0.01,1922
Dems by 210 - 279,11/5/2020 3:00:00 AM,$0.01,$0.01,$0.01,$0.01,1217
GOP by 0 - 9,11/5/2020 4:00:00 AM,$0.05,$0.06,$0.04,$0.04,37756
GOP by 10 - 29,11/5/2020 4:00:00 AM,$0.08,$0.10,$0.07,$0.07,36209
GOP by 30 - 59,11/5/2020 4:00:00 AM,$0.03,$0.04,$0.02,$0.03,26555
Dems by 60 - 99,11/5/2020 4:00:00 AM,$0.47,$0.50,$0.42,$0.49,40660
GOP by 60 - 99,11/5/2020 4:00:00 AM,$0.02,$0.03,$0.01,$0.01,49424
GOP by 280+,11/5/2020 4:00:00 AM,$0.01,$0.01,$0.01,$0.01,3883
Dems by 1 - 9,11/5/2020 4:00:00 AM,$0.07,$0.08,$0.04,$0.07,51596
Dems by 10 - 29,11/5/2020 4:00:00 AM,$0.09,$0.10,$0.05,$0.06,68648
Dems by 30 - 59,11/5/2020 4:00:00 AM,$0.26,$0.30,$0.20,$0.24,46588
Dems by 280+,11/5/2020 4:00:00 AM,$0.01,$0.01,$0.01,$0.01,1015
GOP by 100 - 149,11/5/2020 4:00:00 AM,$0.01,$0.01,$0.01,$0.01,1586
Dems by 100 - 149,11/5/2020 4:00:00 AM,$0.05,$0.05,$0.04,$0.05,57450
GOP by 150 - 209,11/5/2020 4:00:00 AM,$0.01,$0.01,$0.01,$0.01,130
Dems by 150 - 209,11/5/2020 4:00:00 AM,$0.01,$0.01,$0.01,$0.01,977
GOP by 210 - 279,11/5/2020 4:00:00 AM,$0.01,$0.01,$0.01,$0.01,180
Dems by 210 - 279,11/5/2020 4:00:00 AM,$0.01,$0.01,$0.01,$0.01,960
GOP by 0 - 9,11/5/2020 5:00:00 AM,$0.04,$0.06,$0.04,$0.05,32307
GOP by 10 - 29,11/5/2020 5:00:00 AM,$0.07,$0.09,$0.04,$0.07,29656
GOP by 30 - 59,11/5/2020 5:00:00 AM,$0.03,$0.03,$0.02,$0.02,20177
Dems by 60 - 99,11/5/2020 5:00:00 AM,$0.49,$0.61,$0.44,$0.61,40955
GOP by 60 - 99,11/5/2020 5:00:00 AM,$0.01,$0.02,$0.01,$0.01,6526
GOP by 280+,11/5/2020 5:00:00 AM,$0.01,$0.01,$0.01,$0.01,4847
Dems by 1 - 9,11/5/2020 5:00:00 AM,$0.07,$0.09,$0.04,$0.06,55696
Dems by 10 - 29,11/5/2020 5:00:00 AM,$0.06,$0.08,$0.05,$0.06,33889
Dems by 30 - 59,11/5/2020 5:00:00 AM,$0.24,$0.29,$0.20,$0.22,47093
Dems by 280+,11/5/2020 5:00:00 AM,$0.01,$0.01,$0.01,$0.01,1089
GOP by 100 - 149,11/5/2020 5:00:00 AM,$0.01,$0.01,$0.01,$0.01,8619
Dems by 100 - 149,11/5/2020 5:00:00 AM,$0.05,$0.06,$0.04,$0.05,33326
GOP by 150 - 209,11/5/2020 5:00:00 AM,$0.01,$0.01,$0.01,$0.01,1855
Dems by 150 - 209,11/5/2020 5:00:00 AM,$0.01,$0.01,$0.01,$0.01,1123
GOP by 210 - 279,11/5/2020 5:00:00 AM,$0.01,$0.01,$0.01,$0.01,2151
Dems by 210 - 279,11/5/2020 5:00:00 AM,$0.01,$0.01,$0.01,$0.01,1034
GOP by 0 - 9,11/5/2020 6:00:00 AM,$0.05,$0.05,$0.03,$0.05,31370
GOP by 10 - 29,11/5/2020 6:00:00 AM,$0.07,$0.09,$0.05,$0.07,26075
GOP by 30 - 59,11/5/2020 6:00:00 AM,$0.02,$0.04,$0.02,$0.02,42199
Dems by 60 - 99,11/5/2020 6:00:00 AM,$0.61,$0.61,$0.45,$0.54,27451
GOP by 60 - 99,11/5/2020 6:00:00 AM,$0.01,$0.02,$0.01,$0.01,12682
GOP by 280+,11/5/2020 6:00:00 AM,$0.01,$0.01,$0.01,$0.01,5642
Dems by 1 - 9,11/5/2020 6:00:00 AM,$0.06,$0.08,$0.05,$0.06,34236
Dems by 10 - 29,11/5/2020 6:00:00 AM,$0.06,$0.09,$0.06,$0.07,23089
Dems by 30 - 59,11/5/2020 6:00:00 AM,$0.22,$0.27,$0.19,$0.24,35721
Dems by 280+,11/5/2020 6:00:00 AM,$0.01,$0.01,$0.01,$0.01,647
GOP by 100 - 149,11/5/2020 6:00:00 AM,$0.01,$0.01,$0.01,$0.01,1240
Dems by 100 - 149,11/5/2020 6:00:00 AM,$0.05,$0.05,$0.04,$0.04,14144
GOP by 150 - 209,11/5/2020 6:00:00 AM,$0.01,$0.01,$0.01,$0.01,32
Dems by 150 - 209,11/5/2020 6:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
GOP by 210 - 279,11/5/2020 6:00:00 AM,$0.01,$0.01,$0.01,$0.01,5042
Dems by 210 - 279,11/5/2020 6:00:00 AM,$0.01,$0.01,$0.01,$0.01,19
GOP by 0 - 9,11/5/2020 7:00:00 AM,$0.05,$0.05,$0.03,$0.04,7923
GOP by 10 - 29,11/5/2020 7:00:00 AM,$0.07,$0.09,$0.06,$0.07,14980
GOP by 30 - 59,11/5/2020 7:00:00 AM,$0.02,$0.04,$0.02,$0.02,8912
Dems by 60 - 99,11/5/2020 7:00:00 AM,$0.54,$0.57,$0.46,$0.49,24402
GOP by 60 - 99,11/5/2020 7:00:00 AM,$0.01,$0.02,$0.01,$0.02,6723
GOP by 280+,11/5/2020 7:00:00 AM,$0.01,$0.01,$0.01,$0.01,2300
Dems by 1 - 9,11/5/2020 7:00:00 AM,$0.06,$0.09,$0.05,$0.06,14729
Dems by 10 - 29,11/5/2020 7:00:00 AM,$0.07,$0.09,$0.06,$0.07,25057
Dems by 30 - 59,11/5/2020 7:00:00 AM,$0.24,$0.25,$0.18,$0.22,29426
Dems by 280+,11/5/2020 7:00:00 AM,$0.01,$0.01,$0.01,$0.01,1000
GOP by 100 - 149,11/5/2020 7:00:00 AM,$0.01,$0.01,$0.01,$0.01,2542
Dems by 100 - 149,11/5/2020 7:00:00 AM,$0.04,$0.06,$0.04,$0.04,29870
GOP by 150 - 209,11/5/2020 7:00:00 AM,$0.01,$0.01,$0.01,$0.01,1700
Dems by 150 - 209,11/5/2020 7:00:00 AM,$0.01,$0.01,$0.01,$0.01,200
GOP by 210 - 279,11/5/2020 7:00:00 AM,$0.01,$0.01,$0.01,$0.01,1305
Dems by 210 - 279,11/5/2020 7:00:00 AM,$0.01,$0.01,$0.01,$0.01,212
GOP by 0 - 9,11/5/2020 8:00:00 AM,$0.04,$0.06,$0.03,$0.06,30973
GOP by 10 - 29,11/5/2020 8:00:00 AM,$0.07,$0.09,$0.07,$0.09,13245
GOP by 30 - 59,11/5/2020 8:00:00 AM,$0.02,$0.03,$0.02,$0.02,11808
Dems by 60 - 99,11/5/2020 8:00:00 AM,$0.49,$0.49,$0.36,$0.40,16807
GOP by 60 - 99,11/5/2020 8:00:00 AM,$0.02,$0.02,$0.01,$0.02,14545
GOP by 280+,11/5/2020 8:00:00 AM,$0.01,$0.01,$0.01,$0.01,1310
Dems by 1 - 9,11/5/2020 8:00:00 AM,$0.06,$0.10,$0.06,$0.09,15435
Dems by 10 - 29,11/5/2020 8:00:00 AM,$0.07,$0.09,$0.06,$0.07,9900
Dems by 30 - 59,11/5/2020 8:00:00 AM,$0.22,$0.30,$0.20,$0.30,29357
Dems by 280+,11/5/2020 8:00:00 AM,$0.01,$0.01,$0.01,$0.01,850
GOP by 100 - 149,11/5/2020 8:00:00 AM,$0.01,$0.01,$0.01,$0.01,1772
Dems by 100 - 149,11/5/2020 8:00:00 AM,$0.04,$0.06,$0.04,$0.04,8219
GOP by 150 - 209,11/5/2020 8:00:00 AM,$0.01,$0.01,$0.01,$0.01,1744
Dems by 150 - 209,11/5/2020 8:00:00 AM,$0.01,$0.01,$0.01,$0.01,850
GOP by 210 - 279,11/5/2020 8:00:00 AM,$0.01,$0.01,$0.01,$0.01,875
Dems by 210 - 279,11/5/2020 8:00:00 AM,$0.01,$0.01,$0.01,$0.01,850
GOP by 0 - 9,11/5/2020 9:00:00 AM,$0.06,$0.06,$0.05,$0.05,10035
GOP by 10 - 29,11/5/2020 9:00:00 AM,$0.09,$0.09,$0.07,$0.08,3819
GOP by 30 - 59,11/5/2020 9:00:00 AM,$0.02,$0.03,$0.02,$0.02,11455
Dems by 60 - 99,11/5/2020 9:00:00 AM,$0.40,$0.46,$0.34,$0.45,12591
GOP by 60 - 99,11/5/2020 9:00:00 AM,$0.02,$0.02,$0.01,$0.01,17734
GOP by 280+,11/5/2020 9:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Dems by 1 - 9,11/5/2020 9:00:00 AM,$0.09,$0.10,$0.08,$0.09,6444
Dems by 10 - 29,11/5/2020 9:00:00 AM,$0.07,$0.09,$0.07,$0.07,11577
Dems by 30 - 59,11/5/2020 9:00:00 AM,$0.30,$0.33,$0.28,$0.32,16150
Dems by 280+,11/5/2020 9:00:00 AM,$0.01,$0.01,$0.01,$0.01,24
GOP by 100 - 149,11/5/2020 9:00:00 AM,$0.01,$0.01,$0.01,$0.01,27
Dems by 100 - 149,11/5/2020 9:00:00 AM,$0.04,$0.06,$0.03,$0.04,14489
GOP by 150 - 209,11/5/2020 9:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Dems by 150 - 209,11/5/2020 9:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
GOP by 210 - 279,11/5/2020 9:00:00 AM,$0.01,$0.01,$0.01,$0.01,26
Dems by 210 - 279,11/5/2020 9:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
GOP by 0 - 9,11/5/2020 10:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
GOP by 10 - 29,11/5/2020 10:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
GOP by 30 - 59,11/5/2020 10:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Dems by 60 - 99,11/5/2020 10:00:00 AM,$0.45,$0.45,$0.45,$0.45,0
GOP by 60 - 99,11/5/2020 10:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
GOP by 280+,11/5/2020 10:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Dems by 1 - 9,11/5/2020 10:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Dems by 10 - 29,11/5/2020 10:00:00 AM,$0.07,$0.09,$0.07,$0.09,1500
Dems by 30 - 59,11/5/2020 10:00:00 AM,$0.32,$0.32,$0.32,$0.32,670
Dems by 280+,11/5/2020 10:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
GOP by 100 - 149,11/5/2020 10:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Dems by 100 - 149,11/5/2020 10:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
GOP by 150 - 209,11/5/2020 10:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Dems by 150 - 209,11/5/2020 10:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
GOP by 210 - 279,11/5/2020 10:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Dems by 210 - 279,11/5/2020 10:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
GOP by 0 - 9,11/5/2020 11:00:00 AM,$0.05,$0.05,$0.03,$0.05,5020
GOP by 10 - 29,11/5/2020 11:00:00 AM,$0.08,$0.11,$0.07,$0.10,10489
GOP by 30 - 59,11/5/2020 11:00:00 AM,$0.02,$0.04,$0.02,$0.04,8578
Dems by 60 - 99,11/5/2020 11:00:00 AM,$0.45,$0.46,$0.33,$0.33,10008
GOP by 60 - 99,11/5/2020 11:00:00 AM,$0.01,$0.02,$0.01,$0.01,8210
GOP by 280+,11/5/2020 11:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
Dems by 1 - 9,11/5/2020 11:00:00 AM,$0.09,$0.12,$0.09,$0.11,18490
Dems by 10 - 29,11/5/2020 11:00:00 AM,$0.09,$0.11,$0.08,$0.10,19000
Dems by 30 - 59,11/5/2020 11:00:00 AM,$0.32,$0.33,$0.23,$0.30,8395
Dems by 280+,11/5/2020 11:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
GOP by 100 - 149,11/5/2020 11:00:00 AM,$0.01,$0.01,$0.01,$0.01,700
Dems by 100 - 149,11/5/2020 11:00:00 AM,$0.04,$0.06,$0.03,$0.04,12599
GOP by 150 - 209,11/5/2020 11:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Dems by 150 - 209,11/5/2020 11:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
GOP by 210 - 279,11/5/2020 11:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Dems by 210 - 279,11/5/2020 11:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
GOP by 0 - 9,11/5/2020 12:00:00 PM,$0.05,$0.05,$0.04,$0.05,10071
GOP by 10 - 29,11/5/2020 12:00:00 PM,$0.10,$0.11,$0.09,$0.09,8451
GOP by 30 - 59,11/5/2020 12:00:00 PM,$0.04,$0.04,$0.03,$0.03,852
Dems by 60 - 99,11/5/2020 12:00:00 PM,$0.33,$0.43,$0.33,$0.42,4641
GOP by 60 - 99,11/5/2020 12:00:00 PM,$0.01,$0.02,$0.01,$0.02,1711
GOP by 280+,11/5/2020 12:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Dems by 1 - 9,11/5/2020 12:00:00 PM,$0.11,$0.11,$0.09,$0.10,7250
Dems by 10 - 29,11/5/2020 12:00:00 PM,$0.10,$0.11,$0.06,$0.06,21310
Dems by 30 - 59,11/5/2020 12:00:00 PM,$0.30,$0.30,$0.25,$0.25,5423
Dems by 280+,11/5/2020 12:00:00 PM,$0.01,$0.01,$0.01,$0.01,72
GOP by 100 - 149,11/5/2020 12:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Dems by 100 - 149,11/5/2020 12:00:00 PM,$0.04,$0.05,$0.02,$0.05,16959
GOP by 150 - 209,11/5/2020 12:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Dems by 150 - 209,11/5/2020 12:00:00 PM,$0.01,$0.01,$0.01,$0.01,50
GOP by 210 - 279,11/5/2020 12:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Dems by 210 - 279,11/5/2020 12:00:00 PM,$0.01,$0.01,$0.01,$0.01,81
GOP by 0 - 9,11/5/2020 1:00:00 PM,$0.05,$0.06,$0.03,$0.05,9249
GOP by 10 - 29,11/5/2020 1:00:00 PM,$0.09,$0.12,$0.08,$0.12,14233
GOP by 30 - 59,11/5/2020 1:00:00 PM,$0.03,$0.04,$0.02,$0.03,28326
Dems by 60 - 99,11/5/2020 1:00:00 PM,$0.42,$0.50,$0.36,$0.50,16445
GOP by 60 - 99,11/5/2020 1:00:00 PM,$0.02,$0.02,$0.01,$0.01,20095
GOP by 280+,11/5/2020 1:00:00 PM,$0.01,$0.01,$0.01,$0.01,0
Dems by 1 - 9,11/5/2020 1:00:00 PM,$0.10,$0.10,$0.06,$0.07,32458
Dems by 10 - 29,11/5/2020 1:00:00 PM,$0.06,$0.10,$0.06,$0.08,19978
Dems by 30 - 59,11/5/2020 1:00:00 PM,$0.25,$0.36,$0.25,$0.25,18809
