ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
GOP by 0 - 9,11/4/2020 2:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
GOP by 10 - 29,11/4/2020 2:00:00 AM,$0.07,$0.07,$0.06,$0.06,85
GOP by 30 - 59,11/4/2020 2:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Dems by 60 - 99,11/4/2020 2:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
GOP by 60 - 99,11/4/2020 2:00:00 AM,$0.14,$0.14,$0.14,$0.14,850
GOP by 280+,11/4/2020 2:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Dems by 1 - 9,11/4/2020 2:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Dems by 10 - 29,11/4/2020 2:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Dems by 30 - 59,11/4/2020 2:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Dems by 280+,11/4/2020 2:00:00 AM,$0.09,$0.09,$0.07,$0.07,10600
GOP by 100 - 149,11/4/2020 2:00:00 AM,$0.12,$0.13,$0.12,$0.13,850
Dems by 100 - 149,11/4/2020 2:00:00 AM,$0.18,$0.18,$0.17,$0.17,351
GOP by 150 - 209,11/4/2020 2:00:00 AM,$0.01,$0.02,$0.01,$0.02,14
Dems by 150 - 209,11/4/2020 2:00:00 AM,$0.20,$0.20,$0.15,$0.15,11370
GOP by 210 - 279,11/4/2020 2:00:00 AM,$0.01,$0.02,$0.01,$0.02,5000
Dems by 210 - 279,11/4/2020 2:00:00 AM,$0.15,$0.15,$0.12,$0.12,8924
GOP by 0 - 9,11/4/2020 3:00:00 AM,$0.03,$0.04,$0.03,$0.04,936
GOP by 10 - 29,11/4/2020 3:00:00 AM,$0.06,$0.07,$0.06,$0.06,957
GOP by 30 - 59,11/4/2020 3:00:00 AM,$0.09,$0.11,$0.09,$0.11,956
Dems by 60 - 99,11/4/2020 3:00:00 AM,$0.10,$0.10,$0.10,$0.10,800
GOP by 60 - 99,11/4/2020 3:00:00 AM,$0.14,$0.15,$0.14,$0.15,1430
GOP by 280+,11/4/2020 3:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Dems by 1 - 9,11/4/2020 3:00:00 AM,$0.02,$0.02,$0.01,$0.01,60
Dems by 10 - 29,11/4/2020 3:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Dems by 30 - 59,11/4/2020 3:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Dems by 280+,11/4/2020 3:00:00 AM,$0.07,$0.07,$0.05,$0.05,29156
GOP by 100 - 149,11/4/2020 3:00:00 AM,$0.13,$0.13,$0.13,$0.13,0
Dems by 100 - 149,11/4/2020 3:00:00 AM,$0.17,$0.17,$0.14,$0.14,6151
GOP by 150 - 209,11/4/2020 3:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Dems by 150 - 209,11/4/2020 3:00:00 AM,$0.15,$0.15,$0.14,$0.14,5857
GOP by 210 - 279,11/4/2020 3:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Dems by 210 - 279,11/4/2020 3:00:00 AM,$0.12,$0.12,$0.09,$0.09,11843
GOP by 0 - 9,11/4/2020 4:00:00 AM,$0.04,$0.04,$0.02,$0.03,146330
GOP by 10 - 29,11/4/2020 4:00:00 AM,$0.06,$0.15,$0.01,$0.06,161918
GOP by 30 - 59,11/4/2020 4:00:00 AM,$0.11,$0.15,$0.02,$0.07,153086
Dems by 60 - 99,11/4/2020 4:00:00 AM,$0.10,$0.11,$0.01,$0.01,217996
GOP by 60 - 99,11/4/2020 4:00:00 AM,$0.15,$0.43,$0.14,$0.42,82145
GOP by 280+,11/4/2020 4:00:00 AM,$0.02,$0.04,$0.01,$0.03,64850
Dems by 1 - 9,11/4/2020 4:00:00 AM,$0.01,$0.03,$0.01,$0.03,239556
Dems by 10 - 29,11/4/2020 4:00:00 AM,$0.05,$0.08,$0.02,$0.05,217331
Dems by 30 - 59,11/4/2020 4:00:00 AM,$0.07,$0.16,$0.04,$0.16,220899
Dems by 280+,11/4/2020 4:00:00 AM,$0.05,$0.05,$0.01,$0.01,41589
GOP by 100 - 149,11/4/2020 4:00:00 AM,$0.13,$0.25,$0.10,$0.18,55397
Dems by 100 - 149,11/4/2020 4:00:00 AM,$0.14,$0.14,$0.01,$0.01,143946
GOP by 150 - 209,11/4/2020 4:00:00 AM,$0.02,$0.03,$0.01,$0.01,77457
Dems by 150 - 209,11/4/2020 4:00:00 AM,$0.14,$0.15,$0.01,$0.01,71196
GOP by 210 - 279,11/4/2020 4:00:00 AM,$0.02,$0.02,$0.01,$0.01,39811
Dems by 210 - 279,11/4/2020 4:00:00 AM,$0.09,$0.09,$0.01,$0.01,50404
GOP by 0 - 9,11/4/2020 5:00:00 AM,$0.03,$0.05,$0.02,$0.04,38986
GOP by 10 - 29,11/4/2020 5:00:00 AM,$0.06,$0.08,$0.03,$0.08,45987
GOP by 30 - 59,11/4/2020 5:00:00 AM,$0.07,$0.22,$0.06,$0.20,45259
Dems by 60 - 99,11/4/2020 5:00:00 AM,$0.01,$0.06,$0.01,$0.01,24387
GOP by 60 - 99,11/4/2020 5:00:00 AM,$0.42,$0.42,$0.02,$0.03,35181
GOP by 280+,11/4/2020 5:00:00 AM,$0.03,$0.03,$0.01,$0.02,59903
Dems by 1 - 9,11/4/2020 5:00:00 AM,$0.03,$0.05,$0.02,$0.05,117411
Dems by 10 - 29,11/4/2020 5:00:00 AM,$0.05,$0.08,$0.03,$0.08,51330
Dems by 30 - 59,11/4/2020 5:00:00 AM,$0.16,$0.32,$0.13,$0.23,31451
Dems by 280+,11/4/2020 5:00:00 AM,$0.01,$0.01,$0.01,$0.01,4315
GOP by 100 - 149,11/4/2020 5:00:00 AM,$0.18,$0.18,$0.01,$0.01,39372
Dems by 100 - 149,11/4/2020 5:00:00 AM,$0.01,$0.02,$0.01,$0.01,12200
GOP by 150 - 209,11/4/2020 5:00:00 AM,$0.01,$0.02,$0.01,$0.01,31361
Dems by 150 - 209,11/4/2020 5:00:00 AM,$0.01,$0.01,$0.01,$0.01,1550
GOP by 210 - 279,11/4/2020 5:00:00 AM,$0.01,$0.01,$0.01,$0.01,5028
Dems by 210 - 279,11/4/2020 5:00:00 AM,$0.01,$0.01,$0.01,$0.01,1586
GOP by 0 - 9,11/4/2020 6:00:00 AM,$0.04,$0.05,$0.03,$0.04,26006
GOP by 10 - 29,11/4/2020 6:00:00 AM,$0.08,$0.12,$0.07,$0.09,49902
GOP by 30 - 59,11/4/2020 6:00:00 AM,$0.20,$0.30,$0.20,$0.23,29590
Dems by 60 - 99,11/4/2020 6:00:00 AM,$0.01,$0.14,$0.01,$0.08,92653
GOP by 60 - 99,11/4/2020 6:00:00 AM,$0.03,$0.10,$0.03,$0.05,30432
GOP by 280+,11/4/2020 6:00:00 AM,$0.02,$0.03,$0.01,$0.01,7804
Dems by 1 - 9,11/4/2020 6:00:00 AM,$0.05,$0.05,$0.02,$0.02,50597
Dems by 10 - 29,11/4/2020 6:00:00 AM,$0.08,$0.08,$0.02,$0.03,58761
Dems by 30 - 59,11/4/2020 6:00:00 AM,$0.23,$0.23,$0.09,$0.09,37641
Dems by 280+,11/4/2020 6:00:00 AM,$0.01,$0.01,$0.01,$0.01,475
GOP by 100 - 149,11/4/2020 6:00:00 AM,$0.01,$0.01,$0.01,$0.01,10141
Dems by 100 - 149,11/4/2020 6:00:00 AM,$0.01,$0.04,$0.01,$0.01,36477
GOP by 150 - 209,11/4/2020 6:00:00 AM,$0.01,$0.01,$0.01,$0.01,7151
Dems by 150 - 209,11/4/2020 6:00:00 AM,$0.01,$0.01,$0.01,$0.01,735
GOP by 210 - 279,11/4/2020 6:00:00 AM,$0.01,$0.01,$0.01,$0.01,1535
Dems by 210 - 279,11/4/2020 6:00:00 AM,$0.01,$0.01,$0.01,$0.01,510
GOP by 0 - 9,11/4/2020 7:00:00 AM,$0.04,$0.05,$0.03,$0.05,19072
GOP by 10 - 29,11/4/2020 7:00:00 AM,$0.09,$0.15,$0.07,$0.15,27602
GOP by 30 - 59,11/4/2020 7:00:00 AM,$0.23,$0.25,$0.14,$0.20,18931
Dems by 60 - 99,11/4/2020 7:00:00 AM,$0.08,$0.14,$0.04,$0.08,49360
GOP by 60 - 99,11/4/2020 7:00:00 AM,$0.05,$0.10,$0.01,$0.06,53016
GOP by 280+,11/4/2020 7:00:00 AM,$0.01,$0.04,$0.01,$0.01,12904
Dems by 1 - 9,11/4/2020 7:00:00 AM,$0.02,$0.05,$0.02,$0.05,78808
Dems by 10 - 29,11/4/2020 7:00:00 AM,$0.03,$0.10,$0.03,$0.09,38889
Dems by 30 - 59,11/4/2020 7:00:00 AM,$0.09,$0.19,$0.08,$0.19,30543
Dems by 280+,11/4/2020 7:00:00 AM,$0.01,$0.01,$0.01,$0.01,1385
GOP by 100 - 149,11/4/2020 7:00:00 AM,$0.01,$0.02,$0.01,$0.01,16925
Dems by 100 - 149,11/4/2020 7:00:00 AM,$0.01,$0.02,$0.01,$0.01,27546
GOP by 150 - 209,11/4/2020 7:00:00 AM,$0.01,$0.01,$0.01,$0.01,441
Dems by 150 - 209,11/4/2020 7:00:00 AM,$0.01,$0.01,$0.01,$0.01,40081
GOP by 210 - 279,11/4/2020 7:00:00 AM,$0.01,$0.01,$0.01,$0.01,2782
Dems by 210 - 279,11/4/2020 7:00:00 AM,$0.01,$0.01,$0.01,$0.01,2690
GOP by 0 - 9,11/4/2020 8:00:00 AM,$0.05,$0.05,$0.02,$0.03,120759
GOP by 10 - 29,11/4/2020 8:00:00 AM,$0.15,$0.19,$0.12,$0.16,93387
GOP by 30 - 59,11/4/2020 8:00:00 AM,$0.20,$0.39,$0.20,$0.33,108206
Dems by 60 - 99,11/4/2020 8:00:00 AM,$0.08,$0.14,$0.06,$0.11,167317
GOP by 60 - 99,11/4/2020 8:00:00 AM,$0.06,$0.10,$0.02,$0.02,120503
GOP by 280+,11/4/2020 8:00:00 AM,$0.01,$0.03,$0.01,$0.01,52350
Dems by 1 - 9,11/4/2020 8:00:00 AM,$0.05,$0.13,$0.03,$0.08,191184
Dems by 10 - 29,11/4/2020 8:00:00 AM,$0.09,$0.13,$0.03,$0.06,146936
Dems by 30 - 59,11/4/2020 8:00:00 AM,$0.19,$0.25,$0.13,$0.15,123631
Dems by 280+,11/4/2020 8:00:00 AM,$0.01,$0.01,$0.01,$0.01,10297
GOP by 100 - 149,11/4/2020 8:00:00 AM,$0.01,$0.02,$0.01,$0.01,37482
Dems by 100 - 149,11/4/2020 8:00:00 AM,$0.01,$0.04,$0.01,$0.02,234900
GOP by 150 - 209,11/4/2020 8:00:00 AM,$0.01,$0.01,$0.01,$0.01,14848
Dems by 150 - 209,11/4/2020 8:00:00 AM,$0.01,$0.01,$0.01,$0.01,31094
GOP by 210 - 279,11/4/2020 8:00:00 AM,$0.01,$0.01,$0.01,$0.01,7524
Dems by 210 - 279,11/4/2020 8:00:00 AM,$0.01,$0.01,$0.01,$0.01,8058
GOP by 0 - 9,11/4/2020 9:00:00 AM,$0.03,$0.05,$0.01,$0.03,106132
GOP by 10 - 29,11/4/2020 9:00:00 AM,$0.16,$0.25,$0.13,$0.19,73502
GOP by 30 - 59,11/4/2020 9:00:00 AM,$0.33,$0.37,$0.25,$0.37,67932
Dems by 60 - 99,11/4/2020 9:00:00 AM,$0.11,$0.11,$0.06,$0.07,83500
GOP by 60 - 99,11/4/2020 9:00:00 AM,$0.02,$0.06,$0.01,$0.04,107982
GOP by 280+,11/4/2020 9:00:00 AM,$0.01,$0.01,$0.01,$0.01,5792
Dems by 1 - 9,11/4/2020 9:00:00 AM,$0.08,$0.11,$0.06,$0.10,93507
Dems by 10 - 29,11/4/2020 9:00:00 AM,$0.06,$0.12,$0.04,$0.10,103797
Dems by 30 - 59,11/4/2020 9:00:00 AM,$0.15,$0.20,$0.10,$0.13,68921
Dems by 280+,11/4/2020 9:00:00 AM,$0.01,$0.01,$0.01,$0.01,5572
GOP by 100 - 149,11/4/2020 9:00:00 AM,$0.01,$0.01,$0.01,$0.01,19573
Dems by 100 - 149,11/4/2020 9:00:00 AM,$0.02,$0.02,$0.01,$0.01,44499
GOP by 150 - 209,11/4/2020 9:00:00 AM,$0.01,$0.01,$0.01,$0.01,4499
Dems by 150 - 209,11/4/2020 9:00:00 AM,$0.01,$0.01,$0.01,$0.01,6649
GOP by 210 - 279,11/4/2020 9:00:00 AM,$0.01,$0.01,$0.01,$0.01,1888
Dems by 210 - 279,11/4/2020 9:00:00 AM,$0.01,$0.01,$0.01,$0.01,5098
GOP by 0 - 9,11/4/2020 10:00:00 AM,$0.03,$0.03,$0.02,$0.02,350
GOP by 10 - 29,11/4/2020 10:00:00 AM,$0.19,$0.19,$0.19,$0.19,250
GOP by 30 - 59,11/4/2020 10:00:00 AM,$0.37,$0.37,$0.35,$0.35,100
Dems by 60 - 99,11/4/2020 10:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
GOP by 60 - 99,11/4/2020 10:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
GOP by 280+,11/4/2020 10:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Dems by 1 - 9,11/4/2020 10:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Dems by 10 - 29,11/4/2020 10:00:00 AM,$0.10,$0.10,$0.10,$0.10,1050
Dems by 30 - 59,11/4/2020 10:00:00 AM,$0.13,$0.13,$0.13,$0.13,0
Dems by 280+,11/4/2020 10:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
GOP by 100 - 149,11/4/2020 10:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Dems by 100 - 149,11/4/2020 10:00:00 AM,$0.01,$0.02,$0.01,$0.02,1
GOP by 150 - 209,11/4/2020 10:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Dems by 150 - 209,11/4/2020 10:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
GOP by 210 - 279,11/4/2020 10:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Dems by 210 - 279,11/4/2020 10:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
GOP by 0 - 9,11/4/2020 11:00:00 AM,$0.02,$0.04,$0.01,$0.03,117098
GOP by 10 - 29,11/4/2020 11:00:00 AM,$0.19,$0.19,$0.07,$0.13,67110
GOP by 30 - 59,11/4/2020 11:00:00 AM,$0.35,$0.35,$0.11,$0.11,56615
Dems by 60 - 99,11/4/2020 11:00:00 AM,$0.07,$0.28,$0.06,$0.25,59218
GOP by 60 - 99,11/4/2020 11:00:00 AM,$0.04,$0.05,$0.01,$0.02,63121
GOP by 280+,11/4/2020 11:00:00 AM,$0.01,$0.01,$0.01,$0.01,11423
Dems by 1 - 9,11/4/2020 11:00:00 AM,$0.10,$0.14,$0.09,$0.11,120539
Dems by 10 - 29,11/4/2020 11:00:00 AM,$0.10,$0.16,$0.05,$0.08,93578
Dems by 30 - 59,11/4/2020 11:00:00 AM,$0.13,$0.30,$0.12,$0.27,37454
Dems by 280+,11/4/2020 11:00:00 AM,$0.01,$0.01,$0.01,$0.01,5463
GOP by 100 - 149,11/4/2020 11:00:00 AM,$0.01,$0.01,$0.01,$0.01,10300
Dems by 100 - 149,11/4/2020 11:00:00 AM,$0.02,$0.04,$0.01,$0.02,49276
GOP by 150 - 209,11/4/2020 11:00:00 AM,$0.01,$0.01,$0.01,$0.01,7371
Dems by 150 - 209,11/4/2020 11:00:00 AM,$0.01,$0.01,$0.01,$0.01,5553
GOP by 210 - 279,11/4/2020 11:00:00 AM,$0.01,$0.01,$0.01,$0.01,17224
Dems by 210 - 279,11/4/2020 11:00:00 AM,$0.01,$0.01,$0.01,$0.01,5478
GOP by 0 - 9,11/4/2020 12:00:00 PM,$0.03,$0.03,$0.01,$0.02,46037
GOP by 10 - 29,11/4/2020 12:00:00 PM,$0.13,$0.15,$0.07,$0.11,71030
GOP by 30 - 59,11/4/2020 12:00:00 PM,$0.11,$0.16,$0.03,$0.03,56533
Dems by 60 - 99,11/4/2020 12:00:00 PM,$0.25,$0.31,$0.10,$0.22,55992
GOP by 60 - 99,11/4/2020 12:00:00 PM,$0.02,$0.02,$0.01,$0.01,25368
GOP by 280+,11/4/2020 12:00:00 PM,$0.01,$0.01,$0.01,$0.01,6966
Dems by 1 - 9,11/4/2020 12:00:00 PM,$0.11,$0.14,$0.09,$0.12,54545
Dems by 10 - 29,11/4/2020 12:00:00 PM,$0.08,$0.08,$0.01,$0.07,57347
Dems by 30 - 59,11/4/2020 12:00:00 PM,$0.27,$0.39,$0.27,$0.38,34184
Dems by 280+,11/4/2020 12:00:00 PM,$0.01,$0.01,$0.01,$0.01,3012
GOP by 100 - 149,11/4/2020 12:00:00 PM,$0.01,$0.01,$0.01,$0.01,9303
Dems by 100 - 149,11/4/2020 12:00:00 PM,$0.02,$0.04,$0.01,$0.02,64833
GOP by 150 - 209,11/4/2020 12:00:00 PM,$0.01,$0.01,$0.01,$0.01,7267
Dems by 150 - 209,11/4/2020 12:00:00 PM,$0.01,$0.01,$0.01,$0.01,4247
GOP by 210 - 279,11/4/2020 12:00:00 PM,$0.01,$0.01,$0.01,$0.01,11629
Dems by 210 - 279,11/4/2020 12:00:00 PM,$0.01,$0.01,$0.01,$0.01,4837
GOP by 0 - 9,11/4/2020 1:00:00 PM,$0.02,$0.03,$0.02,$0.03,75726
GOP by 10 - 29,11/4/2020 1:00:00 PM,$0.11,$0.11,$0.01,$0.06,148345
GOP by 30 - 59,11/4/2020 1:00:00 PM,$0.03,$0.08,$0.02,$0.08,129453
Dems by 60 - 99,11/4/2020 1:00:00 PM,$0.22,$0.49,$0.18,$0.27,81514
GOP by 60 - 99,11/4/2020 1:00:00 PM,$0.01,$0.02,$0.01,$0.01,46926
GOP by 280+,11/4/2020 1:00:00 PM,$0.01,$0.01,$0.01,$0.01,12246
Dems by 1 - 9,11/4/2020 1:00:00 PM,$0.12,$0.15,$0.07,$0.12,107762
Dems by 10 - 29,11/4/2020 1:00:00 PM,$0.07,$0.07,$0.02,$0.03,93133
Dems by 30 - 59,11/4/2020 1:00:00 PM,$0.38,$0.38,$0.05,$0.26,101817
Dems by 280+,11/4/2020 1:00:00 PM,$0.01,$0.01,$0.01,$0.01,7407
GOP by 100 - 149,11/4/2020 1:00:00 PM,$0.01,$0.01,$0.01,$0.01,7516
Dems by 100 - 149,11/4/2020 1:00:00 PM,$0.02,$0.12,$0.02,$0.03,106524
GOP by 150 - 209,11/4/2020 1:00:00 PM,$0.01,$0.01,$0.01,$0.01,7325
Dems by 150 - 209,11/4/2020 1:00:00 PM,$0.01,$0.01,$0.01,$0.01,7970
GOP by 210 - 279,11/4/2020 1:00:00 PM,$0.01,$0.01,$0.01,$0.01,11263
Dems by 210 - 279,11/4/2020 1:00:00 PM,$0.01,$0.01,$0.01,$0.01,7879
GOP by 0 - 9,11/4/2020 2:00:00 PM,$0.03,$0.04,$0.02,$0.03,86078
GOP by 10 - 29,11/4/2020 2:00:00 PM,$0.06,$0.08,$0.02,$0.07,87888
GOP by 30 - 59,11/4/2020 2:00:00 PM,$0.08,$0.10,$0.02,$0.06,85204
Dems by 60 - 99,11/4/2020 2:00:00 PM,$0.27,$0.41,$0.19,$0.26,62982
GOP by 60 - 99,11/4/2020 2:00:00 PM,$0.01,$0.04,$0.01,$0.02,67863
GOP by 280+,11/4/2020 2:00:00 PM,$0.01,$0.01,$0.01,$0.01,5993
Dems by 1 - 9,11/4/2020 2:00:00 PM,$0.12,$0.12,$0.06,$0.11,89750
Dems by 10 - 29,11/4/2020 2:00:00 PM,$0.03,$0.09,$0.02,$0.05,75226
Dems by 30 - 59,11/4/2020 2:00:00 PM,$0.26,$0.45,$0.18,$0.33,61860
Dems by 280+,11/4/2020 2:00:00 PM,$0.01,$0.01,$0.01,$0.01,4324
GOP by 100 - 149,11/4/2020 2:00:00 PM,$0.01,$0.01,$0.01,$0.01,15385
Dems by 100 - 149,11/4/2020 2:00:00 PM,$0.03,$0.08,$0.02,$0.04,107268
GOP by 150 - 209,11/4/2020 2:00:00 PM,$0.01,$0.01,$0.01,$0.01,3900
Dems by 150 - 209,11/4/2020 2:00:00 PM,$0.01,$0.01,$0.01,$0.01,4601
GOP by 210 - 279,11/4/2020 2:00:00 PM,$0.01,$0.01,$0.01,$0.01,4725
Dems by 210 - 279,11/4/2020 2:00:00 PM,$0.01,$0.01,$0.01,$0.01,4040
GOP by 0 - 9,11/4/2020 3:00:00 PM,$0.03,$0.06,$0.02,$0.02,144185
GOP by 10 - 29,11/4/2020 3:00:00 PM,$0.07,$0.10,$0.03,$0.04,79532
GOP by 30 - 59,11/4/2020 3:00:00 PM,$0.06,$0.10,$0.03,$0.03,95896
Dems by 60 - 99,11/4/2020 3:00:00 PM,$0.26,$0.38,$0.22,$0.35,78308
GOP by 60 - 99,11/4/2020 3:00:00 PM,$0.02,$0.03,$0.01,$0.01,60545
GOP by 280+,11/4/2020 3:00:00 PM,$0.01,$0.01,$0.01,$0.01,1330
Dems by 1 - 9,11/4/2020 3:00:00 PM,$0.11,$0.15,$0.07,$0.09,117194
Dems by 10 - 29,11/4/2020 3:00:00 PM,$0.05,$0.07,$0.02,$0.02,116366
Dems by 30 - 59,11/4/2020 3:00:00 PM,$0.33,$0.45,$0.33,$0.42,55493
Dems by 280+,11/4/2020 3:00:00 PM,$0.01,$0.01,$0.01,$0.01,702
GOP by 100 - 149,11/4/2020 3:00:00 PM,$0.01,$0.01,$0.01,$0.01,5707
Dems by 100 - 149,11/4/2020 3:00:00 PM,$0.04,$0.06,$0.01,$0.04,112010
GOP by 150 - 209,11/4/2020 3:00:00 PM,$0.01,$0.01,$0.01,$0.01,1385
Dems by 150 - 209,11/4/2020 3:00:00 PM,$0.01,$0.01,$0.01,$0.01,1780
GOP by 210 - 279,11/4/2020 3:00:00 PM,$0.01,$0.01,$0.01,$0.01,17367
Dems by 210 - 279,11/4/2020 3:00:00 PM,$0.01,$0.01,$0.01,$0.01,407
GOP by 0 - 9,11/4/2020 4:00:00 PM,$0.02,$0.05,$0.02,$0.03,99010
GOP by 10 - 29,11/4/2020 4:00:00 PM,$0.04,$0.08,$0.03,$0.06,69211
GOP by 30 - 59,11/4/2020 4:00:00 PM,$0.03,$0.06,$0.02,$0.03,90791
Dems by 60 - 99,11/4/2020 4:00:00 PM,$0.35,$0.43,$0.26,$0.32,74415
GOP by 60 - 99,11/4/2020 4:00:00 PM,$0.01,$0.02,$0.01,$0.02,66019
GOP by 280+,11/4/2020 4:00:00 PM,$0.01,$0.01,$0.01,$0.01,10147
Dems by 1 - 9,11/4/2020 4:00:00 PM,$0.09,$0.15,$0.07,$0.15,133712
Dems by 10 - 29,11/4/2020 4:00:00 PM,$0.02,$0.05,$0.01,$0.05,201749
Dems by 30 - 59,11/4/2020 4:00:00 PM,$0.42,$0.42,$0.25,$0.39,71564
Dems by 280+,11/4/2020 4:00:00 PM,$0.01,$0.01,$0.01,$0.01,6874
GOP by 100 - 149,11/4/2020 4:00:00 PM,$0.01,$0.01,$0.01,$0.01,10038
Dems by 100 - 149,11/4/2020 4:00:00 PM,$0.04,$0.05,$0.02,$0.03,123834
GOP by 150 - 209,11/4/2020 4:00:00 PM,$0.01,$0.01,$0.01,$0.01,6959
Dems by 150 - 209,11/4/2020 4:00:00 PM,$0.01,$0.01,$0.01,$0.01,5885
GOP by 210 - 279,11/4/2020 4:00:00 PM,$0.01,$0.01,$0.01,$0.01,8072
Dems by 210 - 279,11/4/2020 4:00:00 PM,$0.01,$0.01,$0.01,$0.01,4703
GOP by 0 - 9,11/4/2020 5:00:00 PM,$0.03,$0.09,$0.03,$0.08,89217
GOP by 10 - 29,11/4/2020 5:00:00 PM,$0.06,$0.10,$0.04,$0.08,85118
GOP by 30 - 59,11/4/2020 5:00:00 PM,$0.03,$0.07,$0.03,$0.06,68957
Dems by 60 - 99,11/4/2020 5:00:00 PM,$0.32,$0.33,$0.17,$0.18,71500
GOP by 60 - 99,11/4/2020 5:00:00 PM,$0.02,$0.03,$0.01,$0.03,62082
GOP by 280+,11/4/2020 5:00:00 PM,$0.01,$0.01,$0.01,$0.01,15357
Dems by 1 - 9,11/4/2020 5:00:00 PM,$0.15,$0.20,$0.10,$0.14,96690
Dems by 10 - 29,11/4/2020 5:00:00 PM,$0.05,$0.06,$0.03,$0.04,114919
Dems by 30 - 59,11/4/2020 5:00:00 PM,$0.39,$0.40,$0.29,$0.39,59026
